Table Name(1),State Code (2),District Code(3),Tehsil Code  (4),Town  Code (5),Area Name (6),Total/ Rural/ Urban(7),Total number of households (8),Total number of households availing banking services  (9),"Availability of assets Radio/
Transistor (10)",Availability of assets Television (11),Availability of assets Computer/Laptop With Internet (12),Availability of assets Computer/Laptop Without Internet (13),Availability of assets Telephone/Mobile PhoneLandline only (14),Availability of assets Telephone/Mobile Phone Mobile only (15),Availability of assets Telephone/Mobile Phone Both (16),Availability of assets Bicycle (17),Availability of assets Scooter/ Motorcycle/Moped (18),Availability of assets Car/ Jeep/Van (19),"Availability of assets Households with TV, Computer/Laptop, Telephone/mobile phone and Scooter/ Car (20)",Availability of assets None of the assets specified in col.(21),,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,006,00021,000000,Sub-District - Darhal,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,006,00022,000000,Sub-District - Rajauri,Total,35118,24940,13505,10820,319,2056,726,19859,1043,695,2455,1180,463,8889,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,006,00022,000000,Sub-District - Rajauri,Rural,31201,21407,12072,7553,105,1613,564,16863,564,335,1334,559,135,8748,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,006,00022,000000,Sub-District - Rajauri,Urban,3917,3533,1433,3267,214,443,162,2996,479,360,1121,621,328,141,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,006,00022,800065,Rajauri (MC),Urban,3917,3533,1433,3267,214,443,162,2996,479,360,1121,621,328,141,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,006,00023,000000,Sub-District - Budhal,Total,22839,9842,9692,1244,21,615,141,8059,115,43,161,123,16,9457,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,006,00023,000000,Sub-District - Budhal,Rural,22839,9842,9692,1244,21,615,141,8059,115,43,161,123,16,9457,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,006,00023,000000,Sub-District - Budhal,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,006,00024,000000,Sub-District - Kalakote,Total,14387,9659,4489,2570,43,421,110,6082,194,85,398,159,21,6096,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,006,00024,000000,Sub-District - Kalakote,Rural,14387,9659,4489,2570,43,421,110,6082,194,85,398,159,21,6096,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,006,00024,000000,Sub-District - Kalakote,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,006,00025,000000,Sub-District - Nowshehra,Total,17432,14301,5841,8612,113,797,916,8100,723,617,1910,612,148,4162,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,006,00025,000000,Sub-District - Nowshehra,Rural,16280,13200,5440,7613,88,746,796,7282,619,514,1564,397,103,4131,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,006,00025,000000,Sub-District - Nowshehra,Urban,1152,1101,401,999,25,51,120,818,104,103,346,215,45,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,006,00025,800066,Nowshehra (MC),Urban,1152,1101,401,999,25,51,120,818,104,103,346,215,45,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
